No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
129,M. Ellis,4,18.9,5.5,2,1.3,0.5,0.3,1,1.3,1.8,0.3,2.0-5.0,0.4,0.5-2.0,0.25,1.0-1.3,0.8,5.3
130,M. Dellavedova,4,25.6,7.5,1.8,1.5,0,0,1.3,1,1.8,0,2.8-7.0,0.393,1.0-2.3,0.444,1.0-1.0,1,5.3
131,D. Dedmon,3,12.7,1.3,5,0.7,0,0.7,1,2,4,1,0.3-0.3,1,0.0-0.0,-,0.7-2.0,0.333,5.3
132,T. Hardaway Jr.,3,30.6,11.3,3,1.7,0.3,0,2.3,2.3,2.7,0.3,3.3-11.3,0.294,1.0-5.3,0.188,3.7-4.7,0.786,5
133,M. Beasley,3,13.6,5.7,3,0.3,0,0.3,0.7,2.7,2.3,0.7,2.3-6.0,0.389,1.0-1.7,0.6,0.0-0.0,-,5
134,J. Layman,1,10.4,3,1,1,1,0,0,2,1,0,1.0-1.0,1,0.0-0.0,-,1.0-2.0,0.5,5
135,D. Murray,1,7.2,4,2,1,0,0,1,3,2,0,1.0-1.0,1,0.0-0.0,-,2.0-3.0,0.667,5
136,B. Forbes,1,8.8,5,1,0,0,0,0,3,1,0,2.0-3.0,0.667,1.0-2.0,0.5,0.0-0.0,-,5
137,A. Brooks,1,7.3,5,1,1,0,0,1,0,1,0,2.0-3.0,0.667,1.0-2.0,0.5,0.0-0.0,-,5
138,P. Patterson,4,19.3,3.5,2.3,1.5,1,0,0.5,0.5,2.3,0,1.0-4.0,0.25,1.0-2.8,0.364,0.5-0.5,1,4.8
139,J. Jerebko,3,8.1,2.7,2,1,0,0.3,0.3,1,1.3,0.7,1.0-2.0,0.5,0.0-0.3,-,0.7-0.7,1,4.7
140,D. Davis,2,4.6,3.5,2.5,0,0,0,0,0.5,1.5,1,1.5-2.5,0.6,0.0-0.0,-,0.5-1.0,0.5,4.5
141,P. Tucker,4,25,3,3.3,1,0.3,0,0.3,2.5,2.8,0.5,1.0-3.3,0.308,0.5-2.3,0.222,0.5-1.0,0.5,4.5
142,J. Withey,2,8.9,2.5,2,0.5,0.5,0.5,0,2,0.5,1.5,1.0-2.0,0.5,0.0-0.0,-,0.5-1.0,0.5,4.5
143,S. Napier,3,9.9,4.3,0.7,0.3,0.7,0,0,1,0.7,0,1.3-2.7,0.5,0.7-1.3,0.5,1.0-1.3,0.75,4.3
144,A. Crabbe,3,22.7,5,3.3,0.7,0.3,0,0.3,2.7,3.3,0,2.0-6.0,0.333,0.7-3.3,0.2,0.3-1.0,0.333,4.3
145,D. Exum,1,11.8,3,0,1,0,0,0,1,0,0,1.0-1.0,1,1.0-1.0,1,0.0-0.0,-,4
146,A. Morrow,1,4.2,4,0,0,0,0,0,0,0,0,2.0-2.0,1,0.0-0.0,-,0.0-0.0,-,4
147,S. Livingston,1,15.3,2,1,1,0,0,0,2,1,0,1.0-1.0,1,0.0-0.0,-,0.0-0.0,-,4
148,J. Calderon,3,9.8,2.7,1,1.7,0.7,0,0.7,1.3,1,0,1.3-2.7,0.5,0.0-1.0,-,0.0-0.0,-,4
149,R. Neto,2,5.3,2.5,1.5,0.5,0,0,0.5,1,1.5,0,1.0-1.0,1,0.5-0.5,1,0.0-0.0,-,4
150,J. Lauvergne,2,5.6,3,2,1.5,0,0,0.5,0.5,0.5,1.5,1.5-3.5,0.429,0.0-1.0,-,0.0-0.0,-,4
151,A. Abrines,4,14.4,3.3,1.5,1,0,0,0,1,1,0.5,1.0-3.0,0.333,0.8-2.5,0.3,0.5-0.5,1,3.8
152,P. Connaughton,2,9.2,2.5,3,1,0,0,0,0,2.5,0.5,0.5-3.5,0.143,0.0-2.5,-,1.5-1.5,1,3.5
153,D. Valentine,2,2.4,1.5,2,0.5,0,0,0.5,0,2,0,0.5-0.5,1,0.5-0.5,1,0.0-0.0,-,3.5
154,W. Selden,4,22,3.8,2.3,1.5,0.3,0.3,0.3,1.8,1.5,0.8,1.5-5.5,0.273,0.5-2.8,0.182,0.3-0.5,0.5,3.5
155,I. Shumpert,3,17,2.7,1,0,0.7,0.3,0,2.7,1,0,1.0-2.3,0.429,0.7-1.7,0.4,0.0-0.0,-,3.3
156,A. Johnson,3,10.9,3.7,2,0.3,0.7,0.3,0.7,2,0.3,1.7,1.7-4.0,0.417,0.0-0.3,-,0.3-1.0,0.333,3.3
157,D. Bertans,3,9.6,4.3,0.3,0,0,0.7,0.3,0,0.3,0,1.3-2.7,0.5,1.3-2.0,0.667,0.3-0.7,0.5,3.3
158,J. Redick,4,32.2,7.8,1.5,1,0.5,0,2.5,3.3,1.5,0,2.5-7.3,0.345,1.0-3.8,0.267,1.8-2.3,0.778,3
159,T. Quarterman,1,5.1,3,0,0,0,0,0,1,0,0,1.0-1.0,1,1.0-1.0,1,0.0-0.0,-,3
160,J. Poeltl,3,5,2,2.7,0,0.3,0,0,1,1.3,1.3,1.0-2.3,0.429,0.0-0.0,-,0.0-0.7,-,3
161,J. McAdoo,2,5.3,3.5,1,0,0,0,0,0.5,0.5,0.5,1.0-2.5,0.4,0.5-1.0,0.5,1.0-1.0,1,3
162,S. McClellan,1,3.4,4,0,0,0,0,0,1,0,0,2.0-3.0,0.667,0.0-1.0,-,0.0-0.0,-,3
163,P. Pierce,4,11.1,1.5,1.3,1,0.3,0,0.3,1,1.3,0,0.8-1.8,0.429,0.0-0.8,-,0.0-0.0,-,2.8
164,L. Nogueira,2,2.6,1.5,1.5,0,0.5,0,0,0,0.5,1,0.5-1.0,0.5,0.0-0.0,-,0.5-1.0,0.5,2.5
165,T. Zeller,2,5.9,2,1.5,0,0,0,0.5,0.5,0.5,1,1.0-1.5,0.667,0.0-0.0,-,0.0-0.0,-,2.5
